HORAS AL MES	DIVISION	AREA DE PERSONAL	SEXO	EDAD DEL EMPLEADO	CATEGORIA	SALARIOS MINIMOS
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Masculino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	CREDITO SOCIAL	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	CREDITO SOCIAL	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	CREDITO SOCIAL	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	VIVIENDA	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	CREDITO SOCIAL	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(40 - 50]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SUPERMERCADOS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	ADMINISTRACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	DROGUERIAS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(40 - 50]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	AUXILIAR	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	EDUCACION	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(30 - 40]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(20 - 30]	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Masculino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	SALUD IPS	SENA LECTIVO	Femenino	(... - 20	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
(210, 240]	RECREACION Y TURISMO	SENA PRODUCTIVO	Masculino	(20 - 30]	Basico	(00 - 01]
